Unnamed: 0,카페이름,유사한 스타일,유사도
57,창창커피,"['워크웨어', '걸리시', '로맨틱', '클래식', '캐주얼', '레트로', '시티보이', '스포티', '스트릿', '고프코어', '시크', '미니멀']","[0.2519763153394848, 0.2279211529192759, 0.11952286093343936, 0.1091089451179962, 0.10101525445522107, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
58,그레이덕,"['걸리시', '캐주얼', '스트릿', '시티보이', '레트로', '미니멀', '로맨틱', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.26967994498529685, 0.23904572186687872, 0.1414213562373095, 0.13483997249264842, 0.12909944487358058, 0.12909944487358058, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
59,카페소림,"['로맨틱', '시티보이', '클래식', '캐주얼', '워크웨어', '걸리시', '미니멀', '레트로', '스포티', '스트릿', '고프코어', '시크']","[0.2, 0.19069251784911848, 0.1825741858350554, 0.16903085094570333, 0.10540925533894598, 0.09534625892455924, 0.0912870929175277, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,글리터,"['걸리시', '레트로', '캐주얼', '로맨틱', '시티보이', '미니멀', '스포티', '워크웨어', '스트릿', '고프코어', '시크', '클래식']","[0.2279211529192759, 0.2182178902359924, 0.20203050891044214, 0.11952286093343936, 0.11396057645963795, 0.1091089451179962, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,카멜커피 성수점,"['캐주얼', '미니멀', '시티보이', '레트로', '스트릿', '걸리시', '클래식', '로맨틱', '스포티', '워크웨어', '고프코어', '시크']","[0.4082482904638631, 0.25197631533948484, 0.1973855084879307, 0.18898223650461363, 0.13801311186847084, 0.1315903389919538, 0.12598815766974242, 0.06900655593423542, 0.0, 0.0, 0.0, 0.0]"
62,높은산,"['레트로', '미니멀', '캐주얼', '스트릿', '시티보이', '워크웨어', '고프코어', '로맨틱', '걸리시', '클래식', '스포티', '시크']","[0.3086066999241839, 0.3086066999241839, 0.2142857142857143, 0.16903085094570333, 0.16116459280507606, 0.0890870806374748, 0.0890870806374748, 0.08451542547285167, 0.08058229640253803, 0.07715167498104597, 0.0, 0.0]"
63,스프레이하우스,"['걸리시', '시티보이', '레트로', '워크웨어', '스트릿', '미니멀', '캐주얼', '로맨틱', '스포티', '고프코어', '시크', '클래식']","[0.2860387767736777, 0.19069251784911848, 0.1825741858350554, 0.10540925533894598, 0.1, 0.0912870929175277, 0.08451542547285167, 0.0, 0.0, 0.0, 0.0, 0.0]"
64,오우드 성수,"['워크웨어', '미니멀', '캐주얼', '레트로', '스포티', '스트릿', '시티보이', '걸리시', '로맨틱', '고프코어', '시크', '클래식']","[0.3333333333333333, 0.2886751345948129, 0.2672612419124244, 0.19245008972987526, 0.1111111111111111, 0.10540925533894598, 0.10050378152592121, 0.10050378152592121, 0.0, 0.0, 0.0, 0.0]"
65,러프러프,"['미니멀', '걸리시', '레트로', '캐주얼', '스트릿', '시티보이', '로맨틱', '스포티', '워크웨어', '고프코어', '시크', '클래식']","[0.3273268353539886, 0.2279211529192759, 0.2182178902359924, 0.20203050891044214, 0.11952286093343936, 0.11396057645963795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
66,커피코코 성수,"['캐주얼', '워크웨어', '로맨틱', '스트릿', '걸리시', '레트로', '클래식', '미니멀', '시티보이', '스포티', '고프코어', '시크']","[0.21821789023599242, 0.13608276348795434, 0.12909944487358058, 0.12909944487358058, 0.12309149097933275, 0.11785113019775795, 0.11785113019775795, 0.11785113019775795, 0.0, 0.0, 0.0, 0.0]"
